序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
344,124,HSSCSLV,恒生港股通国有企业低波幅指数,2746.84,-4.57,-0.17,2743.25,2754.57,2716.83,2751.41,0.0,12112615936.0
345,124,HSSCCLV,恒生港股通央企低波幅指数,2695.05,-4.64,-0.17,2691.22,2702.05,2666.74,2699.69,0.0,10002494464.0
346,124,HSPDM,恒生地产及物业管理指数,865.85,-1.63,-0.19,867.43,868.94,846.24,867.48,0.0,3000115568.0
347,124,HSSCSEE,恒生港股通央企ESG增强指数,4429.68,-10.63,-0.24,4423.73,4446.71,4352.86,4440.31,0.0,10806411520.0
348,124,HSSCHYS,恒生港股通红利优选指数,3053.37,-8.18,-0.27,3053.5,3061.96,3021.86,3061.55,0.0,12549938688.0
349,124,HSCCI,红筹指数,3481.74,-16.18,-0.46,3489.98,3491.7,3438.33,3497.92,534643408.0,6184791296.0
350,124,HSCICO,恒生综合企业指数,1353.91,-8.66,-0.64,1359.66,1360.68,1334.59,1362.57,28962918.0,570410688.0
351,124,HSSCCS,恒生港股通必需性消费指数,1500.7,-10.99,-0.73,1508.19,1508.19,1477.91,1511.69,0.0,2444153808.0
352,124,HSSCCSI,恒生港股通必需性消费(可投资),1506.25,-11.13,-0.73,1513.31,1513.31,1482.61,1517.38,0.0,2421523264.0
353,124,HSPSM,恒生物业服务及管理指数,1749.09,-13.03,-0.74,1762.85,1762.85,1716.82,1762.12,0.0,2967206464.0
354,124,HSCICS,恒生必需性消费指数,14479.71,-120.28,-0.82,14554.75,14554.75,14247.7,14599.99,0.0,2444153808.0
355,125,H11143,HKT内地地产,304.03,-2.55,-0.83,306.54,306.54,296.07,306.58,6769176.0,2171701680.0
356,124,HSISI,恒指短仓指数,5865.39,-54.46,-0.92,5917.15,5985.4,5851.88,5919.85,0.0,
357,124,HSSH,恒生航运主题指数,3276.0,-34.69,-1.05,3302.0,3302.0,3248.97,3310.69,0.0,6529105152.0
358,124,HSREIT,恒生房地产基金指数,3054.96,-34.75,-1.12,3078.15,3080.42,3029.51,3089.71,11054409.0,308893216.0
359,125,CESG10,中华博彩指数,3113.43,-40.92,-1.3,3152.21,3161.83,3042.56,3154.35,0.0,1119884960.0
360,124,HSCEISI,恒生国企短仓指数,937.09,-13.71,-1.44,948.25,960.41,934.98,950.8,0.0,
361,124,HSCEFS,恒生中国企业期货短仓指数,24982.15,-396.99,-1.56,25270.69,25637.1,24949.14,25379.14,0.0,
362,124,VHSCEI,恒生国指波幅指数,29.95,-0.52,-1.71,30.24,30.36,29.44,30.47,0.0,
363,124,HSI2SI,恒指2倍短仓指数,345.65,-6.52,-1.85,351.81,359.92,344.04,352.17,0.0,
364,124,VHSI,恒指波幅指数,25.73,-0.62,-2.35,26.19,26.27,25.38,26.35,0.0,
365,124,HSCEI2SI,恒生国企2倍短仓指数,1879.64,-56.1,-2.9,1925.14,1974.62,1871.06,1935.74,0.0,
366,124,HSTECHS,恒生科指短仓指数,841.85,-28.06,-3.23,860.94,877.0,839.95,869.91,0.0,
367,124,HST2SI,恒生科指2倍短仓指数,634.4,-43.85,-6.47,664.18,689.23,631.43,678.25,0.0,
368,124,HSTECF2S,恒生科技指期货2倍短仓指数,2849.08,-202.39,-6.63,2989.89,3093.07,2830.27,3051.47,0.0,
