代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000132,上证100,5114.2087,97.331,1.94,5016.8776,5003.7269,5114.2087,4990.6417,9807230,16593913596
sh000133,上证150,4123.0678,121.658,3.04,4001.4094,3978.3395,4123.0678,3955.5777,12985275,15695932911
sh000134,上证银行,789.1311,0.795,0.101,788.3365,786.6156,795.1288,784.7309,20230510,12728967973
sh000135,180高贝,4433.9071,51.024,1.164,4382.8835,4362.2536,4433.9071,4357.9071,26415458,47686930266
sh000136,180低贝,10887.6113,-1.497,-0.014,10889.1086,10834.3801,10928.301,10789.0905,33432913,39377374835
sh000137,380高贝,3690.2624,101.956,2.841,3588.3068,3580.7506,3690.2624,3564.6001,11239609,20158355240
sh000138,380低贝,6638.192,56.595,0.86,6581.5974,6561.6217,6638.192,6549.5403,19540016,16475344402
sh000139,上证转债,344.1304,0.771,0.224,343.3598,343.3119,344.2036,342.8036,13278677,16783147136
sh000141,380动态,2920.182,68.193,2.391,2851.9894,2841.7895,2920.182,2834.7875,26211022,45517883526
sh000142,380稳定,8037.3731,86.926,1.093,7950.4471,7923.8454,8037.3731,7910.6074,30667408,30510077191
sh000145,优势资源,5076.0171,31.014,0.615,5045.0027,5019.8167,5076.715,5008.2878,17072669,18004681643
sh000146,优势制造,6105.1025,104.75,1.746,6000.3521,5970.4615,6105.1025,5958.5156,14619800,23904656349
sh000147,优势消费,7081.6809,49.9,0.71,7031.7806,7005.5251,7081.6809,6992.0904,5187060,17747943480
sh000148,消费领先,7763.3619,96.244,1.255,7667.118,7634.717,7763.3619,7626.1242,38259815,67581869145
sh000149,180红利,3462.888,2.691,0.078,3460.1973,3447.5969,3484.3343,3441.955,25543371,24042242118
sh000150,380红利,12013.4222,84.047,0.705,11929.3756,11888.1742,12016.6512,11847.6265,9993395,8538826838
sh000151,上国红利,1594.2198,6.409,0.404,1587.8111,1581.4257,1599.2406,1575.432,20358108,15510367121
sh000152,上央红利,2459.9288,5.765,0.235,2454.1637,2446.5786,2466.6357,2441.3413,26756101,19530560588
sh000153,上民红利,2860.6304,34.249,1.212,2826.3818,2816.7446,2861.6312,2809.2179,3398900,3149564715
sh000155,市值百强,2538.7266,20.391,0.81,2518.3354,2507.5207,2538.7266,2505.7152,64624877,101425086940
sh000158,上证环保,1266.8504,19.507,1.564,1247.3436,1240.9535,1266.8504,1237.1829,9789361,14129067871
sh000159,沪股通,2793.5691,37.502,1.361,2756.0672,2745.8889,2793.5691,2741.8339,285111612,332338620428
sh000160,沪新丝路,1710.7063,13.664,0.805,1697.0425,1690.6508,1710.7063,1689.1538,32154008,26843185448
sh000161,沪中国造,1437.5586,30.861,2.194,1406.6973,1400.7054,1437.5586,1397.5911,26453398,46937095067
sh000162,沪互联+,2858.8769,75.35,2.707,2783.5268,2771.4233,2858.8769,2762.9733,21991189,39646982754
sh000170,50AH优选,4488.8808,26.779,0.6,4462.1023,4442.7204,4488.8808,4423.6408,23729606,38395833634
sh000300,沪深300,3494.7874,41.429,1.2,3453.3585,3440.0516,3494.7874,3437.4422,139528246,244488721251
sh000682,科创信息,984.989,44.063,4.683,940.9263,934.5685,985.4504,930.6216,4885431,23916903672
sh000683,科创生物,939.4396,14.96,1.618,924.4793,922.4416,939.4396,917.9473,1405566,5768288857
sh000687,科创高装,923.6326,25.36,2.823,898.273,893.4486,923.6326,888.7197,3278407,8996960981
sh000688,科创50,796.9073,28.419,3.698,768.4884,763.6649,797.149,761.264,24214646,71354654830
sh000689,科创材料,760.3348,21.457,2.904,738.8781,735.5974,760.3348,732.2235,1891662,4544791147
sh000690,科创成长,836.1975,34.483,4.301,801.7147,798.1964,836.2395,795.5351,3087291,12321249540
sh000692,科创新能,1044.6398,21.691,2.12,1022.9483,1017.0318,1044.6398,1013.1019,2180608,5286236595
sh000693,科创机械,1001.7387,27.997,2.875,973.7412,969.1432,1001.7387,962.9136,3098044,7318518177
sh000695,科长三角,691.2341,21.248,3.171,669.9864,666.8029,691.3904,664.4349,2816375,12252170371
sh000697,科大湾区,909.0038,19.51,2.193,889.4943,883.8625,909.0038,879.4678,3137495,8528427134
sh000698,科创100,888.459,26.218,3.041,862.2406,858.4475,888.459,854.8304,5207982,16937652042
sh000802,500沪市,5876.2908,104.427,1.809,5771.8635,5749.979,5876.2908,5736.5393,65557329,67509976399
sh000819,有色金属,4526.1901,51.282,1.146,4474.9085,4452.6781,4526.1901,4447.6231,15100704,17859244021
