代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sz399366,能源金属,1418.721,3.547,0.251,1415.174,1415.84,1427.407,1400.993,1179958894,14018639480
sz399367,1000地产,2516.889,-8.755,-0.347,2525.644,2524.498,2533.628,2494.512,672469522,5402821005
sz399368,国证军工,6226.351,104.007,1.699,6122.344,6138.718,6240.249,6099.126,841248616,17204073569
sz399369,国证责任,1419.437,3.872,0.274,1415.565,1415.27,1421.474,1404.937,2680014009,46815004030
sz399370,国证成长,3632.675,30.217,0.839,3602.458,3603.588,3638.634,3586.772,7065511579,155243354764
sz399371,国证价值,6000.389,29.472,0.494,5970.917,5968.794,6001.418,5947.187,12645647875,109679488902
sz399372,大盘成长,3744.082,18.907,0.508,3725.175,3724.254,3754.027,3704.004,2874220468,74759411968
sz399373,大盘价值,7128.783,15.598,0.219,7113.185,7106.23,7137.273,7078.516,4521424763,49762402000
sz399374,中盘成长,3523.348,47.094,1.355,3476.254,3482.134,3527.775,3467.49,1664314007,41582080151
sz399375,中盘价值,5046.891,48.572,0.972,4998.319,5005.621,5047.526,4977.215,4378706580,33962064690
sz399376,小盘成长,4314.392,55.235,1.297,4259.157,4261.234,4325.432,4248.953,2526977104,38901862646
sz399377,小盘价值,6325.062,55.736,0.889,6269.326,6266.886,6333.666,6251.346,3745516532,25955022212
sz399378,ESG 300,2231.925,10.027,0.451,2221.898,2221.294,2234.427,2210.853,9579372958,178550451269
sz399379,国证基金,6549.857,50.395,0.775,6499.462,6508.099,6560.794,6488.346,76599563840,89189420893
sz399380,国证ETF,1288.417,10.417,0.815,1278.0,1279.84,1290.762,1275.807,75863758948,87803449307
sz399381,1000能源,3447.548,13.951,0.406,3433.597,3432.531,3450.271,3377.463,1622158498,16266138649
sz399382,1000材料,2389.125,15.091,0.636,2374.034,2378.134,2390.772,2361.653,4561272619,43311755538
sz399383,1000工业,2207.62,23.825,1.091,2183.795,2184.022,2210.544,2178.98,5726720072,76853370726
sz399384,1000可选,3370.276,10.136,0.302,3360.14,3356.333,3376.758,3341.076,2289178538,31047666198
sz399385,1000消费,10465.729,-59.269,-0.563,10524.998,10509.76,10565.902,10393.841,633959251,17923932987
sz399386,1000医药,5828.703,4.899,0.084,5823.804,5811.957,5867.435,5784.626,912322412,27286440871
sz399387,1000金融,4168.94,-4.652,-0.111,4173.592,4166.97,4187.065,4149.738,4249637734,33580447913
sz399388,1000信息,3702.713,83.675,2.312,3619.038,3634.379,3713.595,3612.732,5169803287,116148914213
sz399389,国证通信,3899.088,147.433,3.93,3751.655,3778.847,3906.915,3755.516,2265993618,52522916748
sz399390,1000公用,2625.546,32.816,1.266,2592.73,2591.334,2626.349,2585.6,1772824723,11714799608
sz399391,投资时钟,3093.797,-10.399,-0.335,3104.196,3102.359,3110.951,3077.618,3973836934,51227616118
sz399392,国证新兴,2183.217,26.844,1.245,2156.373,2159.226,2187.191,2152.549,5003821510,116772766466
sz399393,国证地产,2850.576,-9.317,-0.326,2859.893,2860.368,2870.065,2824.882,1174448428,7518196606
sz399394,国证医药,8615.045,5.872,0.068,8609.173,8588.76,8672.815,8552.33,797182639,25712846171
sz399395,国证有色,5003.458,46.399,0.936,4957.059,4980.429,5003.458,4912.944,2676720367,26201598734
sz399396,国证食品,20560.703,-117.619,-0.569,20678.322,20658.25,20779.242,20406.49,330382155,15322893399
sz399397,国证文化,1877.896,19.354,1.041,1858.542,1857.872,1884.002,1852.182,1896219142,23908750340
sz399398,绩效指数,9935.57,20.14,0.203,9915.43,9902.408,9956.729,9852.487,1105016126,31893743546
sz399399,中经GDP,6268.027,27.409,0.439,6240.618,6237.724,6275.216,6211.889,10342613290,149037136806
sz399400,大中盘,3156.845,18.636,0.594,3138.209,3138.939,3160.585,3124.138,18494191726,302867208028
sz399401,中小盘,3486.948,44.961,1.306,3441.987,3446.33,3493.24,3435.031,18826824861,241713201825
sz399402,周期100,2662.827,12.991,0.49,2649.836,2649.963,2667.62,2636.446,4673447547,71319240539
sz399403,防御100,7549.835,25.503,0.339,7524.332,7525.375,7566.747,7468.225,1867957662,56364206466
