序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
231,124,HSBAGFZ,恒生沪深港通大湾区广佛肇指数,2817.71,19.58,0.7,2802.18,2823.7,2788.09,2798.13,0.0,10458951168.0
232,124,HSPOE,恒生中国民企指数,2345.71,16.26,0.7,2332.4,2375.77,2331.1,2329.45,0.0,22938565632.0
233,124,HSIESG,恒指ESG指数,2061.26,14.18,0.69,2052.07,2076.96,2052.07,2047.08,0.0,41817820160.0
234,124,HSLMLSI,恒生大中型股低波幅智选指数,2562.9,17.56,0.69,2552.76,2580.99,2552.51,2545.34,0.0,39585206784.0
235,124,HSCEFKH,恒生国指韩元对冲3.4%逐减总回报,1241.11,8.5,0.69,1241.11,1241.11,1241.11,1232.61,0.0,
236,124,HSRAICEIER25,恒生风险调控指数(ER)-国企25%,6492.82,44.45,0.69,6492.82,6492.82,6492.82,6448.37,0.0,
237,124,HSBAIN,恒生沪深港通大湾区基建运输指数,2282.91,15.42,0.68,2266.54,2287.28,2263.94,2267.49,0.0,1765163936.0
238,124,HSCEFI,恒生中国企业期货指数,7150.74,48.01,0.68,7131.79,7234.12,7114.1,7102.73,0.0,
239,124,HSPDM,恒生地产及物业管理指数,798.75,5.34,0.67,792.93,807.74,792.93,793.41,0.0,2027205232.0
240,124,HSBAI50,恒生沪深港通大湾区创新50指数,5063.37,33.55,0.67,5031.47,5083.4,5009.98,5029.82,0.0,21305394688.0
241,124,HSRAIHSI20,恒生风险调控指数-恒指20%,49461.02,327.32,0.67,49461.02,49461.02,49461.02,49133.7,0.0,
242,124,HSPGTRI,恒生地产分类指数(GTR),52096.17,344.56,0.67,51715.36,52667.48,51715.36,51751.61,0.0,1982618944.0
243,124,HSPNTRI,恒生地产分类指数(NTR),52096.18,344.56,0.67,51715.36,52667.48,51715.36,51751.62,0.0,1982618944.0
244,124,HSP,恒生地产指数,15720.62,103.97,0.67,15605.71,15893.02,15605.71,15616.65,135545326.0,1982618944.0
245,124,HSINCC,恒指净股息累计备兑认购期权指数,8127.01,53.67,0.66,8116.11,8165.33,8103.33,8073.34,0.0,
246,124,HSSCVSI,恒生沪深港通中国价值智选指数,3727.63,24.51,0.66,3708.65,3740.22,3702.36,3703.12,0.0,167853330432.0
247,124,HSRAIHSIER20,恒生风险调控指数(ER)-恒指20%,32652.1,211.95,0.65,32652.1,32652.1,32652.1,32440.15,0.0,
248,124,HSCINTRI,恒生工商业分类指数(NTR),22844.16,147.99,0.65,22746.1,23083.66,22746.1,22696.17,0.0,30087973888.0
