指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
印度孟买SENSEX30,23.47,55.7,3.46,86.44,1.1,17.09,SENSEX.BO,1986-01-01,2024-03-07
国证芯片,73.08,55.84,3.84,4.98,0.24,48.87,980017.CNI,2015-02-17,2024-03-08
汽车(申万),24.19,56.28,2.02,30.3,1.24,18.94,801880.SI,2014-02-21,2024-03-08
深证红利,16.14,56.3,1.53,2.44,2.85,73.63,399324.SZ,2006-01-24,2024-03-08
农林牧渔(申万),46.39,56.48,2.43,1.03,1.16,74.31,801010.SI,2003-10-16,2024-03-08
500价值稳健,13.4,57.85,1.2,73.05,3.37,52.66,931587.CSI,2020-11-09,2024-03-08
全指成长,13.97,57.89,2.16,53.97,2.88,83.76,000057.SH,2010-01-04,2024-03-08
钢铁(申万),21.88,57.93,0.91,13.67,2.15,46.27,801040.SI,2003-10-16,2024-03-08
全指公用,19.53,58.08,1.88,77.8,2.17,23.77,000995.CSI,2011-08-02,2024-03-08
恒生医疗保健,41.16,59.74,1.77,0.95,1.26,76.44,HSHCI.HI,2015-08-17,2024-03-08
养殖业(申万),54.28,59.79,2.9,5.13,1.14,46.65,801017.SI,1999-12-30,2024-03-08
中证煤炭,11.01,60.46,1.8,97.64,6.66,88.65,399998.SZ,2015-02-13,2024-03-08
ESG120策略,10.3,61.85,1.17,19.61,3.46,74.57,931476.CSI,2020-04-30,2024-03-08
人工智能,51.63,62.02,3.79,15.18,0.73,72.53,931071.CSI,2014-12-31,2024-03-08
CS电子,44.98,63.06,3.2,21.26,0.93,73.5,930652.CSI,2015-06-05,2024-03-08
500成长估值,16.63,63.17,2.13,60.49,1.66,43.93,930938.CSI,2018-12-04,2024-03-08
建筑材料,20.31,64.0,0.98,0.45,2.85,84.16,931009.CSI,2013-07-15,2024-03-08
中证全指电力指数,20.74,64.87,1.87,83.37,2.05,15.22,h30199.CSI,2013-07-15,2024-03-08
中证半导,77.85,65.62,4.06,19.88,0.24,36.04,931865.CSI,2016-12-30,2024-03-08
绿色电力,20.44,66.56,1.99,82.77,2.08,15.67,399438.SZ,2014-12-30,2024-03-08
中证体育,50.04,67.62,2.56,6.56,1.5,84.02,399804.SZ,2015-02-09,2024-03-08
300质量低波,12.14,67.98,1.69,64.9,3.22,40.1,931375.CSI,2019-11-25,2024-03-08
智能制造,36.0,69.7,3.23,23.56,1.06,44.31,930850.CSI,2016-07-20,2024-03-08
消费电子,38.97,69.9,2.69,7.83,1.1,74.31,931494.CSI,2020-06-12,2024-03-08
万得小市值指数,146.49,70.89,1.81,3.86,1.09,94.68,8841425.WI,2010-12-31,2024-03-08
中证全指半导体,94.28,71.51,3.99,43.05,0.3,68.82,h30184.CSI,2013-07-15,2024-03-08
